speed_object_1_kph,speed_object_2_kph,angle_degrees,PET,acceleration_obj1_mps2,acceleration_obj2_mps2,min_dist_dual_check_m,object_count_at_frame1,target_dist_px,FE_inv_PET,FE_safety_index,FE_log_mesafe,FE_dist_squared,class_object_1,class_object_2
4,8,29.19,2.87,0.0,0.0,4.677,48,58.758,0.3484319343442737,0.10211375298489136,4.090303073062381,3452.5025640000003,Car,VRU
8,11,1.83,1.47,0.0,1.11,1.611,46,15.622,0.6802716460737102,0.6081167194906721,2.8107271191308345,244.046884,Car,VRU
8,11,2.03,1.4,0.0,-0.56,1.74,46,17.448,0.7142852040819971,0.5444749802570507,2.9149559635267033,304.432704,Car,VRU
6,16,38.42,2.6,0.0,0.0,1.404,47,12.715,0.38461523668644737,0.8651198690428731,2.6184901243895666,161.671225,Car,VRU
14,17,10.0,2.07,-1.11,0.0,15.321,47,208.468,0.4830915540620512,0.07435193855003196,5.344570983065472,43458.90702399999,Car,VRU
8,6,60.89,2.57,0.0,0.0,8.986,45,119.355,0.3891049069630712,0.05864856890244591,4.790445708858405,14245.616025000001,Car,Ped
5,14,16.2,2.77,0.0,0.0,9.024,42,119.892,0.36101069999613716,0.07923798018851984,4.794897585042639,14374.091664,Car,VRU
5,16,2.03,2.33,0.0,0.0,8.775,39,116.397,0.42918436515692476,0.0902085097536147,4.765561353404804,13548.261609000001,Car,VRU
7,13,8.42,2.9,0.0,0.0,8.24,46,108.867,0.3448274673008733,0.09185519861982787,4.699270543343187,11852.023689000001,Car,VRU
6,5,0.9,2.8,0.0,0.0,3.451,50,41.505,0.3571427295918823,0.13251415172836642,3.7496217160693224,1722.6650250000002,Car,Ped
14,25,9.19,2.23,0.0,0.56,19.113,39,261.799,0.44843029218372543,0.07448462341535063,5.571389481428177,68538.71640099998,Car,VRU
10,10,16.07,1.67,0.0,0.0,0.866,46,5.154,0.5988020366454871,1.9402402133798577,1.8171022768998502,26.563716,Car,VRU
10,9,39.82,2.87,0.0,0.56,6.944,46,90.634,0.3484319343442737,0.10481717562043852,4.517802381849488,8214.521956,Car,LCV
9,10,4.55,2.63,0.0,0.0,5.723,37,73.46,0.38022799230874815,0.129322078283119,4.310262068444571,5396.3715999999995,LCV,LCV
9,10,0.89,2.8,0.0,0.0,10.904,36,146.333,0.3571427295918823,0.06492042078737933,4.99269533096359,21413.346889,LCV,LCV
