controller,seed,status,started_at,average_waiting_time,total_waiting_time,maximum_waiting_time,average_queue_length,maximum_queue_length,throughput,average_travel_time,total_travel_time,number_of_stops,fuel_consumption_mg,co2_emissions_mg,total_distance_m,completed_vehicles,measurement_samples
fixed_time,1,success,2026-09-07T16:13:36Z,22.77777777777778,410.0,63.0,14.345,40,18,159.5,2871.0,140,5974.590817846037,18432.137292670093,78.1241404277822,18,200
density_based,1,success,2026-09-07T16:13:41Z,17.036518563603163,27991.0,100.0,20.48774126238915,62,1643,205.03956177723677,336880.0,3803,192329.21653000338,594630.5330564441,2259.764188926861,1643,3834
predictive_adaptive,1,success,2026-09-07T16:16:52Z,19.071428571428573,1335.0,100.0,45.82774049217002,100,70,185.31428571428572,12972.0,397,20871.612993332354,64478.610336156155,176.86574555209114,70,447
integrated_ai,1,success,2026-09-07T16:17:28Z,18.520713830465265,29059.0,100.0,46.19941113490364,104,1569,245.2950924155513,384868.0,4404,235253.93322528456,727091.1273087233,2209.1147278647745,1569,3736
