controller,seed,status,started_at,average_waiting_time,total_waiting_time,maximum_waiting_time,average_queue_length,maximum_queue_length,throughput,average_travel_time,total_travel_time,number_of_stops,fuel_consumption_mg,co2_emissions_mg,total_distance_m,completed_vehicles,measurement_samples
fixed_time,1,success,2026-09-05T18:54:56Z,36.629629629629626,989.0,61.0,18.79,71,27,146.92592592592592,3967.0,167,6702.206548530417,20673.792290323145,59.86511099449987,27,200
density_based,1,success,2026-09-05T18:55:00Z,3.2967032967032965,300.0,16.0,1.376923076923077,9,91,95.56043956043956,8696.0,74,7563.257889075086,23329.91354706238,113.48956250441246,91,260
predictive_adaptive,1,success,2026-09-05T18:55:05Z,3.741573033707865,333.0,17.0,1.8415094339622642,11,89,95.21348314606742,8474.0,91,7652.580053916177,23605.425606258872,114.57113914579554,89,265
integrated_ai,1,success,2026-09-05T18:55:13Z,3.2637362637362637,297.0,16.0,1.3,13,91,94.56043956043956,8605.0,68,7506.144355070162,23153.734673995663,113.46899063800858,91,260
