controller,successful_runs,average_waiting_time_mean,average_waiting_time_std,total_waiting_time_mean,total_waiting_time_std,maximum_waiting_time_mean,maximum_waiting_time_std,average_queue_length_mean,average_queue_length_std,maximum_queue_length_mean,maximum_queue_length_std,throughput_mean,throughput_std,average_travel_time_mean,average_travel_time_std,total_travel_time_mean,total_travel_time_std,number_of_stops_mean,number_of_stops_std,fuel_consumption_mg_mean,fuel_consumption_mg_std,co2_emissions_mg_mean,co2_emissions_mg_std
fixed_time,1,22.77777777777778,0.0,410.0,0.0,63.0,0.0,14.345,0.0,40,0.0,18,0.0,159.5,0.0,2871.0,0.0,140,0.0,5974.590817846037,0.0,18432.137292670093,0.0
density_based,1,17.036518563603163,0.0,27991.0,0.0,100.0,0.0,20.48774126238915,0.0,62,0.0,1643,0.0,205.03956177723677,0.0,336880.0,0.0,3803,0.0,192329.21653000338,0.0,594630.5330564441,0.0
predictive_adaptive,1,19.071428571428573,0.0,1335.0,0.0,100.0,0.0,45.82774049217002,0.0,100,0.0,70,0.0,185.31428571428572,0.0,12972.0,0.0,397,0.0,20871.612993332354,0.0,64478.610336156155,0.0
integrated_ai,1,18.520713830465265,0.0,29059.0,0.0,100.0,0.0,46.19941113490364,0.0,104,0.0,1569,0.0,245.2950924155513,0.0,384868.0,0.0,4404,0.0,235253.93322528456,0.0,727091.1273087233,0.0
