sample_index,speed_object_1_kph,speed_object_2_kph,angle_degrees,PET,acceleration_obj1_mps2,acceleration_obj2_mps2,min_dist_dual_check_m,object_count_at_frame1,target_dist_px,FE_inv_PET,FE_safety_index,FE_log_mesafe,FE_dist_squared,class_object_1,class_object_2,event_type
546,15,10,10.99,2.63,0.0,-0.56,5.893,49,85.213,0.3802279923087481,0.146691230836947,4.456820978363616,7261.255368999999,VRU,LCV,0
547,7,6,3.14,2.07,1.11,0.56,6.057,45,87.817,0.4830915540620512,0.0740175583996543,4.486578073116991,7711.825488999999,VRU,LCV,0
548,13,10,5.28,2.17,0.0,0.0,6.746,48,98.693,0.4608292807238338,0.1165229538414786,4.602095463871015,9740.308249,VRU,VRU,0
549,14,10,7.54,2.37,0.0,0.0,7.466,44,110.075,0.4219407502359703,0.1090165786144303,4.710205648821972,12116.505625,VRU,VRU,0
550,12,9,53.76,2.6,0.0,0.56,7.199,44,105.858,0.3846152366864473,0.0991894793101184,4.671500850277367,11205.916164,VRU,VRU,0
551,21,16,0.13,1.17,1.11,0.0,4.249,48,59.234,0.8547001241879282,0.3123206213944589,4.098236976937445,3508.666756,VRU,VRU,0
552,15,4,76.34,3.0,1.11,0.0,2.861,45,37.302,0.3333332222222592,0.2546780265219552,3.645502114144368,1391.439204,VRU,Ped,0
553,16,15,12.38,1.77,0.0,1.11,8.271,40,122.788,0.5649714322195298,0.126233832897076,4.81857042501931,15076.892944,VRU,VRU,0
554,19,2,64.89,1.77,0.0,0.0,0.761,43,4.117,0.5649714322195298,2.550400157784756,1.6325683298229547,16.949689,VRU,Ped,1
555,9,11,0.66,2.67,0.0,0.0,8.36,38,124.197,0.3745316949319494,0.080517242119236,4.829888496717572,15424.894809,LCV,VRU,0
556,9,11,2.06,2.83,0.0,0.0,8.374,39,124.423,0.353356765598316,0.0803709918554367,4.831692024458848,15481.082929,LCV,VRU,0
557,9,11,3.07,3.0,0.0,0.0,8.766,39,130.619,0.3333332222222592,0.0765585399018631,4.879911385369572,17061.323161,LCV,VRU,0
558,4,17,74.91,1.43,0.0,-0.56,0.874,41,5.905,0.6993002102795733,1.7781538055624375,1.9322457868612557,34.869025,Ped,VRU,1
559,5,7,24.93,2.53,-0.56,0.0,3.653,40,49.824,0.3952567607680787,0.1204238896832071,3.928368683964232,2482.430976,Ped,VRU,0
560,18,19,0.54,1.9,0.0,0.0,13.689,40,208.406,0.5263155124655198,0.0887690369338261,5.344274951321068,43433.060836,Car,VRU,0
561,18,19,0.58,1.87,0.0,0.0,13.335,39,202.821,0.5347590723213517,0.0912134340565649,5.317242157678376,41136.358041,Car,VRU,0
562,18,19,0.69,1.8,0.0,0.0,12.329,37,186.921,0.5555552469137517,0.0989722925782962,5.236021661749866,34939.460241,Car,VRU,0
563,18,19,1.26,1.7,0.0,0.0,10.732,38,161.688,0.5882349480970894,0.1144178905396944,5.091834256126934,26143.009343999995,Car,VRU,0
564,18,19,1.71,1.67,0.0,0.0,10.303,37,154.897,0.5988020366454871,0.1194342038939798,5.049195532774026,23993.080609,Car,VRU,0
565,11,26,51.06,2.43,0.0,-1.11,9.185,35,137.238,0.4115224643940475,0.1348023132455856,4.928976837358496,18834.268644,Car,VRU,0
566,6,9,67.51,1.2,0.0,0.0,0.944,40,7.01,0.8333326388894676,1.0698999900285322,2.080690761080268,49.1401,VRU,VRU,1
567,12,14,4.69,2.5,0.0,0.0,6.118,40,88.778,0.399999840000064,0.14643267311234,4.497339956429338,7881.533284000001,Car,VRU,0
568,12,14,10.16,2.43,0.0,0.56,7.956,37,117.819,0.4115224643940475,0.1103387389950794,4.777601326800613,13881.316761,Car,VRU,0
569,12,12,0.5,1.23,0.0,0.0,2.923,41,38.286,0.8130074690996186,0.3134304886007812,3.6708682213120847,1465.817796,Car,VRU,1
570,12,12,2.91,1.23,0.0,0.0,2.538,39,32.202,0.8130074690996186,0.3726476500637337,3.502610115071884,1036.968804,Car,VRU,1
571,7,7,16.88,2.57,-0.56,0.56,1.663,36,18.372,0.3891049069630712,0.3810145666767599,2.9638287245409827,337.530384,VRU,Car,0
572,14,11,4.81,2.43,0.0,-0.56,4.153,37,57.721,0.4115224643940475,0.2165589609230789,4.072797414134004,3331.713841,Car,VRU,0
573,14,19,2.4,1.93,0.0,-1.11,6.992,36,102.586,0.518134446562463,0.1608406589511175,4.640402185558672,10523.887396,Car,VRU,0
574,14,11,1.65,1.73,0.0,1.11,10.004,40,150.178,0.5780343479570244,0.0832345610992651,5.018457950513393,22553.431684,Car,VRU,0
575,8,7,50.65,2.83,0.56,0.0,1.179,34,10.728,0.353356765598316,0.6991050802474758,2.461979145144296,115.089984,LCV,VRU,0
576,10,9,0.99,2.77,0.0,0.0,19.59,38,301.65,0.3610106999961371,0.0314934525725395,5.712577022337697,90992.7225,VRU,VRU,0
577,7,13,49.83,1.03,0.0,-1.11,0.794,37,4.653,0.9708728438127732,2.1491506234363587,1.7321863776931536,21.650409,VRU,VRU,1
578,14,18,72.37,1.33,0.56,0.0,4.444,42,62.328,0.7518791339254632,0.2567064520487349,4.148327569420156,3884.779584,VRU,Car,1
579,10,18,74.02,2.6,0.56,0.56,2.259,44,27.796,0.3846152366864473,0.5036695746269401,3.3602364886070566,772.617616,LCV,Car,0
580,11,11,1.09,2.07,0.0,0.0,2.668,38,34.26,0.4830915540620512,0.3210741295658456,3.562749176969724,1173.7476,LCV,VRU,0
581,11,10,5.69,2.0,-0.56,-0.56,2.372,40,29.575,0.499999750000125,0.3550295737944354,3.420182681573236,874.680625,LCV,VRU,0
582,11,11,2.44,2.07,-0.56,0.56,2.571,41,32.723,0.4830915540620512,0.336154987740886,3.518180097147769,1070.794729,LCV,VRU,0
583,9,4,50.07,1.9,1.11,0.0,8.506,33,126.51,0.5263155124655198,0.0513793371956419,4.848194792895451,16004.780100000002,VRU,Ped,1
584,16,6,49.26,1.8,0.0,0.0,1.872,39,21.673,0.5555552469137517,0.507543925273662,3.1211747892445056,469.718929,Car,Ped,0
585,4,19,70.87,2.17,0.56,0.0,3.298,38,44.22,0.4608292807238338,0.2600633138836881,3.811539466849824,1955.4084,Ped,Car,0
586,8,9,86.63,2.93,0.56,-0.56,8.486,42,126.196,0.3412968118440915,0.067355541638756,4.845729203870689,15925.430416,Ped,Car,0
587,11,11,2.98,1.5,0.0,0.0,2.512,40,31.794,0.6666662222225186,0.3459772175260358,3.4902455718276766,1010.858436,Car,VRU,0
588,11,13,78.65,2.73,0.0,0.56,6.822,41,99.899,0.366300232124457,0.1201213213333334,4.614120016507676,9979.810201,Car,VRU,0
589,10,7,69.97,1.4,0.0,1.67,0.967,40,7.387,0.7142852040819971,1.1506699403452092,2.1266828880022746,54.56776899999999,Car,VRU,1
590,11,8,65.27,1.6,0.0,0.0,1.364,42,13.654,0.6249996093752441,0.6957667573043242,2.684713335737772,186.431716,Car,VRU,1
591,16,13,16.43,1.77,0.0,0.0,7.88,37,116.623,0.5649714322195298,0.1243322490046367,4.76748459457289,13600.924129,Car,VRU,0
592,4,13,79.73,2.63,0.0,0.0,3.594,42,48.894,0.3802279923087481,0.1738454580552735,3.909900755047045,2390.623236,Ped,VRU,0
593,11,7,0.93,2.23,0.56,0.56,6.891,37,100.989,0.4484302921837254,0.0891186159966073,4.624864964331527,10198.778121,VRU,Car,0
594,11,7,0.87,2.23,0.56,0.56,6.56,40,95.752,0.4484302921837254,0.0939928137898653,4.572151003530857,9168.445504,VRU,Car,0
595,11,7,0.93,2.23,0.56,0.56,6.891,37,100.989,0.4484302921837254,0.0891186159966073,4.624864964331527,10198.778121,VRU,Car,0
596,10,6,1.19,2.3,0.56,0.0,7.762,36,114.756,0.4347824196598175,0.0697131298606336,4.751484527476044,13168.939536,VRU,Car,0
597,10,6,1.19,2.3,0.56,0.0,7.762,36,114.756,0.4347824196598175,0.0697131298606336,4.751484527476044,13168.939536,VRU,Car,0
598,5,3,3.99,2.9,0.56,0.56,14.46,41,220.587,0.3448274673008733,0.0181334347983633,5.400815288892386,48658.62456899999,VRU,Car,0
599,5,10,5.47,2.17,0.0,0.0,11.062,41,166.897,0.4608292807238338,0.0449378955587104,5.123350696145425,27854.608608999995,Car,VRU,0
600,10,19,2.68,2.4,0.0,0.0,10.504,40,158.075,0.4166664930556278,0.0917286092568172,5.069375789118856,24987.705624999995,Car,VRU,0
601,10,19,7.78,2.17,0.0,0.0,7.386,39,108.803,0.4608292807238338,0.1332683829189601,4.698687851106552,11838.092809,Car,VRU,0
602,10,19,2.23,2.4,0.0,0.0,10.844,39,163.455,0.4166664930556278,0.0887094301874556,5.102636976551093,26717.537025000005,Car,VRU,0
603,10,19,0.35,2.47,0.0,0.0,12.995,38,197.434,0.4048581356849652,0.0734422638783478,5.290456551136187,38980.184356,Car,VRU,0
604,10,24,4.42,1.9,0.0,0.0,9.348,38,139.816,0.5263155124655198,0.1215883724209792,4.947454073631456,19548.513856,Car,VRU,0
