controller,successful_runs,average_waiting_time_mean,average_waiting_time_std,total_waiting_time_mean,total_waiting_time_std,maximum_waiting_time_mean,maximum_waiting_time_std,average_queue_length_mean,average_queue_length_std,maximum_queue_length_mean,maximum_queue_length_std,throughput_mean,throughput_std,average_travel_time_mean,average_travel_time_std,total_travel_time_mean,total_travel_time_std,number_of_stops_mean,number_of_stops_std,fuel_consumption_mg_mean,fuel_consumption_mg_std,co2_emissions_mg_mean,co2_emissions_mg_std
fixed_time,3,36.86463844797178,1.0380053091334538,1007.3333333333334,18.502252115170556,61.666666666666664,1.1547005383792515,18.511666666666667,0.37902286650456024,70,1.7320508075688772,27.333333333333332,0.5773502691896257,147.6900352733686,1.1700513696134531,4036.6666666666665,76.78758580222022,166,1.0,6695.747760630949,36.29090078191435,20653.872355060306,111.94669275873767
density_based,3,3.167001457324038,0.24739918685817236,292.3333333333333,21.548395145191982,16.333333333333332,0.5773502691896257,1.3384615384615386,0.09452465944188082,8,1.0,92.33333333333333,1.1547005383792515,94.14380243412502,1.232027880827805,8691.666666666666,11.150485789118488,73.66666666666667,6.506407098647712,7466.603575599705,85.24464392813326,23031.765036716566,262.95358820173016
predictive_adaptive,3,4.097627965043696,0.7263756322959427,366.3333333333333,67.48580097571143,16.666666666666668,2.516611478423583,1.8150847008361648,0.30464877319994443,10.666666666666666,0.5773502691896257,89.33333333333333,0.5773502691896257,95.74827299209322,2.243762679394558,8554.333333333334,254.20529761067792,89.66666666666667,13.051181300301261,7674.448975089447,223.60150710022702,23672.88966199039,689.7330657435974
integrated_ai,3,3.4053989488772096,0.1938923884367078,311.0,17.05872210923198,17.666666666666668,1.5275252316519468,1.455128205128205,0.13446878464310033,11.666666666666666,1.5275252316519468,91.33333333333333,0.5773502691896257,93.85829749960185,0.6334656958957683,8572.333333333334,69.06036007242746,74,5.291502622129181,7443.798953634849,79.38442955940774,22961.420173414484,244.87302562609406
