controller,successful_runs,average_waiting_time_mean,average_waiting_time_std,total_waiting_time_mean,total_waiting_time_std,maximum_waiting_time_mean,maximum_waiting_time_std,average_queue_length_mean,average_queue_length_std,maximum_queue_length_mean,maximum_queue_length_std,throughput_mean,throughput_std,average_travel_time_mean,average_travel_time_std,total_travel_time_mean,total_travel_time_std,number_of_stops_mean,number_of_stops_std,fuel_consumption_mg_mean,fuel_consumption_mg_std,co2_emissions_mg_mean,co2_emissions_mg_std
fixed_time,1,36.629629629629626,0.0,989.0,0.0,61.0,0.0,18.79,0.0,71,0.0,27,0.0,146.92592592592592,0.0,3967.0,0.0,167,0.0,6702.206548530417,0.0,20673.792290323145,0.0
density_based,1,3.2967032967032965,0.0,300.0,0.0,16.0,0.0,1.376923076923077,0.0,9,0.0,91,0.0,95.56043956043956,0.0,8696.0,0.0,74,0.0,7563.257889075086,0.0,23329.91354706238,0.0
predictive_adaptive,1,3.741573033707865,0.0,333.0,0.0,17.0,0.0,1.8415094339622642,0.0,11,0.0,89,0.0,95.21348314606742,0.0,8474.0,0.0,91,0.0,7652.580053916177,0.0,23605.425606258872,0.0
integrated_ai,1,3.2637362637362637,0.0,297.0,0.0,16.0,0.0,1.3,0.0,13,0.0,91,0.0,94.56043956043956,0.0,8605.0,0.0,68,0.0,7506.144355070162,0.0,23153.734673995663,0.0
